"","X","title","description","termsOfService","contact","license","version","used.keys","missing.keys","pam_fit$clustering"
"268","azure.com:azsadmin-FabricLocation",1,1,0,0,0,1,3,3,3
"269","azure.com:azsadmin-FileShare",1,1,0,0,0,1,3,3,3
"270","azure.com:azsadmin-InfraRole",1,1,0,0,0,1,3,3,3
"271","azure.com:azsadmin-InfraRoleInstance",1,1,0,0,0,1,3,3,3
"272","azure.com:azsadmin-IpPool",1,1,0,0,0,1,3,3,3
"273","azure.com:azsadmin-LogicalNetwork",1,1,0,0,0,1,3,3,3
"274","azure.com:azsadmin-LogicalSubnet",1,1,0,0,0,1,3,3,3
"275","azure.com:azsadmin-MacAddressPool",1,1,0,0,0,1,3,3,3
"276","azure.com:azsadmin-Operations",1,1,0,0,0,1,3,3,3
"277","azure.com:azsadmin-RegionHealth",1,1,0,0,0,1,3,3,3
"278","azure.com:azsadmin-ResourceHealth",1,1,0,0,0,1,3,3,3
"279","azure.com:azsadmin-ScaleUnit",1,1,0,0,0,1,3,3,3
"280","azure.com:azsadmin-ScaleUnitNode",1,1,0,0,0,1,3,3,3
"281","azure.com:azsadmin-ServiceHealth",1,1,0,0,0,1,3,3,3
"282","azure.com:azsadmin-SlbMuxInstance",1,1,0,0,0,1,3,3,3
"283","azure.com:azsadmin-StoragePool",1,1,0,0,0,1,3,3,3
"284","azure.com:azsadmin-StorageSystem",1,1,0,0,0,1,3,3,3
"285","azure.com:azsadmin-Volume",1,1,0,0,0,1,3,3,3
"286","azure.com:azurestack-AzureStack",1,0,0,0,0,1,2,4,3
"287","azure.com:azurestack-CustomerSubscription",1,0,0,0,0,1,2,4,3
"288","azure.com:azurestack-Product",1,0,0,0,0,1,2,4,3
"289","azure.com:azurestack-Registration",1,0,0,0,0,1,2,4,3
"290","azure.com:batch-BatchManagement",1,0,0,0,0,1,2,4,3
"291","azure.com:batchai-BatchAI",1,1,0,0,0,1,3,3,3
"292","azure.com:billing",1,1,0,0,0,1,3,3,3
"293","azure.com:cdn",1,1,0,0,0,1,3,3,3
"294","azure.com:cognitiveservices",1,1,0,0,0,1,3,3,3
"295","azure.com:cognitiveservices-ComputerVision",1,1,0,0,0,1,3,3,3
"296","azure.com:cognitiveservices-ContentModerator",1,1,0,0,0,1,3,3,3
"297","azure.com:cognitiveservices-Face",1,1,0,0,0,1,3,3,3
"298","azure.com:cognitiveservices-LUIS-Programmatic",1,0,0,0,0,1,2,4,3
"299","azure.com:cognitiveservices-LUIS-Runtime",1,0,0,0,0,1,2,4,3
"300","azure.com:cognitiveservices-TextAnalytics",1,1,0,1,0,1,4,2,1
"301","azure.com:commerce",1,0,0,0,0,1,2,4,3
"302","azure.com:compute",1,1,0,0,0,1,3,3,3
"303","azure.com:compute-containerService",1,1,0,0,0,1,3,3,3
"304","azure.com:compute-disk",1,1,0,0,0,1,3,3,3
"305","azure.com:compute-runCommands",1,1,0,0,0,1,3,3,3
"306","azure.com:compute-skus",1,1,0,0,0,1,3,3,3
"307","azure.com:compute-swagger",1,0,0,0,0,1,2,4,3
"308","azure.com:consumption",1,1,0,0,0,1,3,3,3
"309","azure.com:containerinstance-containerInstance",1,0,0,0,0,1,2,4,3
"310","azure.com:containerregistry",1,0,0,0,0,1,2,4,3
"311","azure.com:containerservices-containerService",1,1,0,0,0,1,3,3,3
"312","azure.com:containerservices-location",1,1,0,0,0,1,3,3,3
"313","azure.com:containerservices-managedClusters",1,1,0,0,0,1,3,3,3
