,title,description,termsOfService,contact,license,version
azure.com:machinelearning-webservices,1,1,0,0,0,1
azure.com:machinelearning-workspaces,1,1,0,0,0,1
azure.com:machinelearningcompute-machineLearningCompute,1,1,0,0,0,1
azure.com:machinelearningexperimentation-machineLearningExperimentation,1,1,0,0,0,1
azure.com:managementgroups-management,1,1,0,0,0,1
azure.com:managementpartner-ManagementPartner,1,1,0,0,0,1
azure.com:marketplaceordering-Agreements,1,1,0,0,0,1
azure.com:mediaservices-media,1,1,0,0,0,1
azure.com:migrate,1,1,0,1,0,1
azure.com:mobileengagement-mobile-engagement,1,1,0,0,0,1
azure.com:monitor-actionGroups_API,1,0,0,0,0,1
azure.com:monitor-activityLogAlerts_API,1,0,0,0,0,1
azure.com:monitor-activityLogs_API,1,0,0,0,0,1
azure.com:monitor-alertRulesIncidents_API,1,0,0,0,0,1
azure.com:monitor-alertRules_API,1,0,0,0,0,1
azure.com:monitor-autoscale_API,1,0,0,0,0,1
azure.com:monitor-baseline_API,1,0,0,0,0,1
azure.com:monitor-calculateBaseline_API,1,0,0,0,0,1
azure.com:monitor-diagnosticsSettingsCategories_API,1,0,0,0,0,1
azure.com:monitor-diagnosticsSettings_API,1,0,0,0,0,1
azure.com:monitor-eventCategories_API,1,0,0,0,0,1
azure.com:monitor-logProfiles_API,1,0,0,0,0,1
azure.com:monitor-metricDefinitions_API,1,0,0,0,0,1
azure.com:monitor-metrics_API,1,0,0,0,0,1
azure.com:monitor-operations_API,1,0,0,0,0,1
azure.com:monitor-serviceDiagnosticsSettings_API,1,0,0,0,0,1
azure.com:monitor-tenantActivityLogs_API,1,0,0,0,0,1
azure.com:msi-ManagedIdentity,1,1,0,0,0,1
azure.com:mysql,1,1,0,0,0,1
azure.com:network,1,1,0,0,0,1
azure.com:network-applicationGateway,1,1,0,0,0,1
azure.com:network-applicationSecurityGroup,1,1,0,0,0,1
azure.com:network-checkDnsAvailability,1,1,0,0,0,1
azure.com:network-endpointService,1,1,0,0,0,1
azure.com:network-expressRouteCircuit,1,1,0,0,0,1
azure.com:network-loadBalancer,1,1,0,0,0,1
azure.com:network-networkInterface,1,1,0,0,0,1
azure.com:network-networkSecurityGroup,1,1,0,0,0,1
azure.com:network-networkWatcher,1,1,0,0,0,1
azure.com:network-operation,1,1,0,0,0,1
azure.com:network-publicIpAddress,1,1,0,0,0,1
azure.com:network-routeFilter,1,1,0,0,0,1
azure.com:network-routeTable,1,1,0,0,0,1
azure.com:network-serviceCommunity,1,1,0,0,0,1
azure.com:network-usage,1,1,0,0,0,1
azure.com:network-virtualNetwork,1,1,0,0,0,1
azure.com:network-virtualNetworkGateway,1,1,0,0,0,1
azure.com:network-vmssNetworkInterface,1,1,0,0,0,1
azure.com:network-vmssPublicIpAddress,1,1,0,0,0,1
azure.com:notificationhubs,1,1,0,0,0,1
azure.com:operationalinsights-OperationalInsights,1,1,0,0,0,1
azure.com:operationsmanagement-OperationsManagement,1,1,0,0,0,1
azure.com:policyinsights-policyEvents,1,0,0,0,0,1
azure.com:policyinsights-policyStates,1,0,0,0,0,1
azure.com:postgresql,1,1,0,0,0,1
azure.com:powerbidedicated,1,1,0,0,0,1
azure.com:powerbiembedded,1,1,0,0,0,1
azure.com:provisioningservices-iotdps,1,1,0,0,0,1
azure.com:recoveryservices-backup,1,0,0,0,0,1
azure.com:recoveryservices-registeredidentities,1,0,0,0,0,1
azure.com:recoveryservices-replicationusages,1,0,0,0,0,1
azure.com:recoveryservices-vaults,1,0,0,0,0,1
azure.com:recoveryservices-vaultusages,1,0,0,0,0,1
azure.com:recoveryservicesbackup,1,0,0,0,0,1
azure.com:recoveryservicesbackup-backupManagement,1,0,0,0,0,1
azure.com:recoveryservicesbackup-bms,1,0,0,0,0,1
azure.com:recoveryservicesbackup-jobs,1,0,0,0,0,1
azure.com:recoveryservicesbackup-operations,1,0,0,0,0,1
azure.com:recoveryservicesbackup-registeredIdentities,1,0,0,0,0,1
azure.com:recoveryservicessiterecovery-service,1,0,0,0,0,1
azure.com:redis,1,1,0,0,0,1
azure.com:relay,1,1,0,0,0,1
azure.com:reservations,1,1,0,0,0,1
azure.com:resourcehealth,1,1,0,0,0,1
azure.com:resources,1,0,0,0,0,1
azure.com:resources-features,1,1,0,0,0,1
azure.com:resources-links,1,1,0,0,0,1
azure.com:resources-locks,1,0,0,0,0,1
azure.com:resources-managedapplications,1,1,0,0,0,1
azure.com:resources-management,1,1,0,0,0,1
azure.com:resources-policy,1,1,0,0,0,1
azure.com:resources-policyAssignments,1,1,0,0,0,1
azure.com:resources-policyDefinitions,1,1,0,0,0,1
azure.com:resources-policySetDefinitions,1,1,0,0,0,1
azure.com:resources-subscriptions,1,0,0,0,0,1
azure.com:scheduler,1,0,0,0,0,1
azure.com:search,1,1,0,0,0,1
azure.com:search-searchindex,1,1,0,0,0,1
azure.com:search-searchservice,1,1,0,0,0,1
azure.com:servermanagement,1,1,0,0,0,1
azure.com:service-map-arm-service-map,1,1,0,0,0,1
azure.com:servicebus,1,1,0,0,0,1
azure.com:servicefabric,1,0,0,0,0,1
azure.com:sql-Databases,1,1,0,0,0,1
azure.com:sql-advisors,1,1,0,0,0,1
azure.com:sql-backupLongTermRetentionPolicies,1,1,0,0,0,1
azure.com:sql-backupLongTermRetentionVaults,1,1,0,0,0,1
