,0
azure.com:monitor-metricDefinitions_API,cloud
azure.com:monitor-metrics_API,cloud
azure.com:monitor-operations_API,cloud
azure.com:monitor-serviceDiagnosticsSettings_API,cloud
azure.com:monitor-tenantActivityLogs_API,cloud
azure.com:msi-ManagedIdentity,cloud
azure.com:mysql,cloud
azure.com:network,cloud
azure.com:network-applicationGateway,cloud
azure.com:network-applicationSecurityGroup,cloud
azure.com:network-checkDnsAvailability,cloud
azure.com:network-endpointService,cloud
azure.com:network-expressRouteCircuit,cloud
azure.com:network-loadBalancer,cloud
azure.com:network-networkInterface,cloud
azure.com:network-networkSecurityGroup,cloud
azure.com:network-networkWatcher,cloud
azure.com:network-operation,cloud
azure.com:network-publicIpAddress,cloud
azure.com:network-routeFilter,cloud
azure.com:network-routeTable,cloud
azure.com:network-serviceCommunity,cloud
azure.com:network-usage,cloud
azure.com:network-virtualNetwork,cloud
azure.com:network-virtualNetworkGateway,cloud
azure.com:network-vmssNetworkInterface,cloud
azure.com:network-vmssPublicIpAddress,cloud
azure.com:notificationhubs,cloud
azure.com:operationalinsights-OperationalInsights,cloud
azure.com:operationsmanagement-OperationsManagement,cloud
azure.com:policyinsights-policyEvents,cloud
azure.com:policyinsights-policyStates,cloud
azure.com:postgresql,cloud
azure.com:powerbidedicated,cloud
azure.com:powerbiembedded,cloud
azure.com:provisioningservices-iotdps,cloud
azure.com:recoveryservices-backup,cloud
azure.com:recoveryservices-registeredidentities,cloud
azure.com:recoveryservices-replicationusages,cloud
azure.com:recoveryservices-vaults,cloud
azure.com:recoveryservices-vaultusages,cloud
azure.com:recoveryservicesbackup,cloud
azure.com:recoveryservicesbackup-backupManagement,cloud
azure.com:recoveryservicesbackup-bms,cloud
azure.com:recoveryservicesbackup-jobs,cloud
azure.com:recoveryservicesbackup-operations,cloud
azure.com:recoveryservicesbackup-registeredIdentities,cloud
azure.com:recoveryservicessiterecovery-service,cloud
azure.com:redis,cloud
azure.com:relay,cloud
azure.com:reservations,cloud
azure.com:resourcehealth,cloud
azure.com:resources,cloud
azure.com:resources-features,cloud
azure.com:resources-links,cloud
azure.com:resources-locks,cloud
azure.com:resources-managedapplications,cloud
azure.com:resources-management,cloud
azure.com:resources-policy,cloud
azure.com:resources-policyAssignments,cloud
azure.com:resources-policyDefinitions,cloud
azure.com:resources-policySetDefinitions,cloud
azure.com:resources-subscriptions,cloud
azure.com:scheduler,cloud
azure.com:search,cloud
azure.com:search-searchindex,cloud
azure.com:search-searchservice,cloud
azure.com:servermanagement,cloud
azure.com:service-map-arm-service-map,cloud
azure.com:servicebus,cloud
azure.com:servicefabric,cloud
azure.com:sql-Databases,cloud
azure.com:sql-advisors,cloud
azure.com:sql-backupLongTermRetentionPolicies,cloud
