,title,description,termsOfService,contact,license,version,used keys,missing keys
azure.com:sql-databaseAutomaticTuning,1,1,0,0,0,1,3,3
azure.com:sql-databaseSecurityAlertPolicies,1,1,0,0,0,1,3,3
azure.com:sql-databases,1,1,0,0,0,1,3,3
azure.com:sql-deprecated,1,1,0,0,0,1,3,3
azure.com:sql-disasterRecoveryConfigurations,1,1,0,0,0,1,3,3
azure.com:sql-elasticPools,1,1,0,0,0,1,3,3
azure.com:sql-encryptionProtectors,1,1,0,0,0,1,3,3
azure.com:sql-failoverGroups,1,1,0,0,0,1,3,3
azure.com:sql-firewallRules,1,1,0,0,0,1,3,3
azure.com:sql-geoBackupPolicies,1,1,0,0,0,1,3,3
azure.com:sql-importExport,1,1,0,0,0,1,3,3
azure.com:sql-managedDatabases,1,1,0,0,0,1,3,3
azure.com:sql-metrics,1,1,0,0,0,1,3,3
azure.com:sql-operations,1,1,0,0,0,1,3,3
azure.com:sql-queries,1,1,0,0,0,1,3,3
azure.com:sql-renameDatabase,1,1,0,0,0,1,3,3
azure.com:sql-replicationLinks,1,1,0,0,0,1,3,3
azure.com:sql-restorePoints,1,1,0,0,0,1,3,3
azure.com:sql-serverAutomaticTuning,1,1,0,0,0,1,3,3
azure.com:sql-serverAzureADAdministrators,1,1,0,0,0,1,3,3
azure.com:sql-serverCommunicationLinks,1,1,0,0,0,1,3,3
azure.com:sql-serverDnsAliases,1,1,0,0,0,1,3,3
azure.com:sql-serverKeys,1,1,0,0,0,1,3,3
azure.com:sql-servers,1,1,0,0,0,1,3,3
azure.com:sql-serviceObjectives,1,1,0,0,0,1,3,3
azure.com:sql-sql.core,1,1,0,0,0,1,3,3
azure.com:sql-syncAgents,1,1,0,0,0,1,3,3
azure.com:sql-syncGroups,1,1,0,0,0,1,3,3
azure.com:sql-syncMembers,1,1,0,0,0,1,3,3
azure.com:sql-tableAuditing,1,1,0,0,0,1,3,3
azure.com:sql-usages,1,1,0,0,0,1,3,3
azure.com:sql-virtualNetworkRules,1,1,0,0,0,1,3,3
azure.com:storage,1,1,0,0,0,1,3,3
azure.com:storageimportexport,1,1,0,0,0,1,3,3
azure.com:storsimple8000series-storsimple,1,0,0,0,0,1,2,4
azure.com:streamanalytics-functions,1,0,0,0,0,1,2,4
azure.com:streamanalytics-inputs,1,0,0,0,0,1,2,4
azure.com:streamanalytics-outputs,1,0,0,0,0,1,2,4
azure.com:streamanalytics-streamingjobs,1,0,0,0,0,1,2,4
azure.com:streamanalytics-subscriptions,1,0,0,0,0,1,2,4
azure.com:streamanalytics-transformations,1,0,0,0,0,1,2,4
azure.com:subscription-subscriptionDefinitions,1,1,0,0,0,1,3,3
azure.com:timeseriesinsights,1,1,0,0,0,1,3,3
azure.com:trafficmanager,1,0,0,0,0,1,2,4
azure.com:trafficmanager-trafficmanageranalytics,1,0,0,0,0,1,2,4
azure.com:visualstudio-Csm,1,1,0,0,0,1,3,3
azure.com:web-AppServiceCertificateOrders,1,0,0,0,0,1,2,4
azure.com:web-AppServiceEnvironments,1,0,0,0,0,1,2,4
azure.com:web-AppServicePlans,1,0,0,0,0,1,2,4
azure.com:web-CertificateRegistrationProvider,1,0,0,0,0,1,2,4
azure.com:web-Certificates,1,0,0,0,0,1,2,4
azure.com:web-DeletedWebApps,1,0,0,0,0,1,2,4
azure.com:web-Diagnostics,1,0,0,0,0,1,2,4
azure.com:web-DomainRegistrationProvider,1,0,0,0,0,1,2,4
azure.com:web-Domains,1,0,0,0,0,1,2,4
azure.com:web-Provider,1,0,0,0,0,1,2,4
azure.com:web-Recommendations,1,0,0,0,0,1,2,4
azure.com:web-ResourceProvider,1,0,0,0,0,1,2,4
azure.com:web-TopLevelDomains,1,0,0,0,0,1,2,4
azure.com:web-WebApps,1,0,0,0,0,1,2,4
azure.com:web-logicAppsManagementClient,1,0,0,0,0,1,2,4
azure.com:web-service,1,1,0,0,0,1,3,3
bbc.co.uk,1,1,0,0,0,1,3,3
bbc.com,1,1,1,1,1,1,6,0
bbci.co.uk,1,1,0,1,1,1,5,1
bclaws.ca:bclaws,1,1,1,0,1,1,5,1
beanstream.com,1,1,0,0,0,1,3,3
beezup.com,1,1,0,1,1,1,5,1
betfair.com,1,1,1,1,1,1,6,0
bigoven.com,1,1,1,0,0,1,4,2
bikewise.org,1,1,0,1,0,1,4,2
bitbucket.org,1,1,1,1,0,1,5,1
blazemeter.com,1,1,0,1,1,1,5,1
bluemix.net:containers,1,1,0,0,1,1,4,2
botify.com,1,1,0,0,0,1,3,3
box.com:authorization,1,1,0,0,1,1,4,2
box.com:content,1,1,0,0,1,1,4,2
box.com:token,1,1,0,0,1,1,4,2
box.com:upload,1,1,0,0,1,1,4,2
brandlovers.com,1,1,0,0,0,1,3,3
brex.io,1,0,0,0,0,1,2,4
browshot.com,1,1,1,1,0,1,5,1
bufferapp.com,1,1,0,0,0,1,3,3
bungie.net,1,1,1,1,1,1,6,0
callfire.com,1,1,1,1,1,1,6,0
cambase.io,1,1,0,0,0,1,3,3
carbondoomsday.com,1,1,0,1,0,1,4,2
ccp.is,1,1,0,0,0,1,3,3
cenit.io,1,1,1,1,0,1,5,1
channel4.com,1,1,1,1,1,1,6,0
circleci.com,1,1,0,0,1,1,4,2
circuitsandbox.net,1,1,0,0,0,1,3,3
cisco.com,1,1,0,1,0,1,4,2
citrixonline.com:gotomeeting,1,1,1,1,0,1,5,1
citrixonline.com:scim,1,1,1,1,0,1,5,1
citycontext.com,1,1,0,0,0,1,3,3
clarify.io,1,1,0,0,0,1,3,3
clever-cloud.com,1,1,0,1,0,1,4,2
clever.com,1,1,0,1,0,1,4,2
clickmeter.com,1,1,0,1,0,1,4,2
cloudmersive.com:ocr,1,0,0,0,0,1,2,4
cnab-online.herokuapp.com,1,1,0,0,0,1,3,3
code-scan.com,1,1,1,1,1,1,6,0
consumerfinance.gov,1,1,0,0,0,1,3,3
core.ac.uk,1,1,0,1,0,1,4,2
cybertaxonomy.eu,1,1,1,1,1,1,6,0
data.gov,1,1,0,0,0,1,3,3
data2crm.com,1,1,0,0,0,1,3,3
dataatwork.org,1,1,0,1,0,1,4,2
datumbox.com,1,1,0,0,0,1,3,3
deeparteffects.com,1,0,0,1,0,1,3,3
deutschebahn.com:betriebsstellen,1,1,1,1,0,1,5,1
deutschebahn.com:fahrplan,1,1,1,1,1,1,6,0
deutschebahn.com:fasta,1,1,1,1,1,1,6,0
deutschebahn.com:flinkster,1,1,1,1,0,1,5,1
deutschebahn.com:reisezentren,1,1,1,1,0,1,5,1
deutschebahn.com:stada,1,1,0,0,0,1,3,3
digitallinguistics.io,1,1,0,1,1,1,5,1
docker.com:engine,1,1,0,0,0,1,3,3
docusign.net,1,1,1,1,0,1,5,1
domainsdb.info,1,1,0,0,0,1,3,3
dracoon.team,1,1,1,1,0,1,5,1
dropx.io,1,1,0,0,0,1,3,3
dweet.io,1,1,0,0,0,1,3,3
ebay.com:buy-browse,1,1,0,1,1,1,5,1
ebay.com:buy-feed,1,1,0,1,1,1,5,1
ebay.com:buy-marketing,1,1,0,1,1,1,5,1
ebay.com:commerce-taxonomy,1,1,0,1,1,1,5,1
ebay.com:sell-fulfillment,1,1,0,1,1,1,5,1
envoice.in,1,1,0,1,0,1,4,2
epa.gov:air,1,1,0,1,1,1,5,1
epa.gov:case,1,1,0,1,1,1,5,1
epa.gov:cwa,1,1,0,1,1,1,5,1
epa.gov:dfr,1,1,0,1,1,1,5,1
epa.gov:echo,1,1,0,1,1,1,5,1
epa.gov:eff,1,1,0,1,1,1,5,1
epa.gov:rcra,1,1,0,1,1,1,5,1
epa.gov:sdw,1,1,0,1,1,1,5,1
etmdb.com,1,1,0,1,0,1,4,2
europeana.eu,1,1,1,1,1,1,6,0
exavault.com,1,1,0,0,0,1,3,3
fantasydata.net:cbb-v3-scores,1,0,0,1,0,1,3,3
fantasydata.net:cbb-v3-stats,1,0,0,1,0,1,3,3
fantasydata.net:cfb-v3-scores,1,1,0,1,0,1,4,2
fantasydata.net:golf-v2,1,0,0,1,0,1,3,3
fantasydata.net:mlb-v3-play-by-play,1,1,0,1,0,1,4,2
fantasydata.net:mlb-v3-projections,1,1,0,1,0,1,4,2
fantasydata.net:mlb-v3-projections-dfsr,1,1,0,1,0,1,4,2
fantasydata.net:mlb-v3-rotoballer-articles,1,0,0,1,0,1,3,3
fantasydata.net:mlb-v3-rotoballer-premium-news,1,0,0,1,0,1,3,3
fantasydata.net:mlb-v3-scores,1,1,0,1,0,1,4,2
fantasydata.net:mlb-v3-stats,1,1,0,1,0,1,4,2
fantasydata.net:nascar-v2,1,0,0,1,0,1,3,3
fantasydata.net:nba-v3-play-by-play,1,1,0,1,0,1,4,2
fantasydata.net:nba-v3-projections,1,0,0,1,0,1,3,3
fantasydata.net:nba-v3-rotoballer-articles,1,0,0,1,0,1,3,3
fantasydata.net:nba-v3-rotoballer-premium-news,1,0,0,1,0,1,3,3
fantasydata.net:nba-v3-scores,1,0,0,1,0,1,3,3
fantasydata.net:nba-v3-stats,1,0,0,1,0,1,3,3
fantasydata.net:nfl-v3-play-by-play,1,1,0,1,0,1,4,2
fantasydata.net:nfl-v3-projections,1,1,0,1,0,1,4,2
fantasydata.net:nfl-v3-projections-dfsr,1,1,0,1,0,1,4,2
fantasydata.net:nfl-v3-rotoballer-articles,1,0,0,1,0,1,3,3
fantasydata.net:nfl-v3-rotoballer-premium-news,1,0,0,1,0,1,3,3
fantasydata.net:nfl-v3-scores,1,1,0,1,0,1,4,2
fantasydata.net:nfl-v3-stats,1,1,0,1,0,1,4,2
fantasydata.net:nhl-v3-play-by-play,1,1,0,1,0,1,4,2
fantasydata.net:nhl-v3-projections,1,0,0,1,0,1,3,3
fantasydata.net:nhl-v3-scores,1,0,0,1,0,1,3,3
fantasydata.net:nhl-v3-stats,1,0,0,1,0,1,3,3
fantasydata.net:soccer-v3-projections,1,0,0,1,0,1,3,3
fantasydata.net:soccer-v3-scores,1,0,0,1,0,1,3,3
fantasydata.net:soccer-v3-stats,1,0,0,1,0,1,3,3
figshare.com,1,1,0,0,0,1,3,3
firebrowse.org,1,1,0,0,0,1,3,3
flat.io,1,1,1,1,0,1,5,1
flickr.com,1,1,1,1,0,1,5,1
formapi.io,1,0,0,1,0,1,3,3
freesound.org,1,1,1,1,1,1,6,0
funtranslations.com,1,1,1,1,0,1,5,1
furkot.com,1,1,0,1,0,1,4,2
geneea.com,1,1,0,0,0,1,3,3
geodesystems.com,1,1,0,0,0,1,3,3
getgo.com:gototraining,1,1,1,1,0,1,5,1
getgo.com:gotowebinar,1,1,1,1,0,1,5,1
getsandbox.com,1,1,1,1,0,1,5,1
gettyimages.com,1,1,0,0,0,1,3,3
giphy.com,1,1,1,1,0,1,5,1
gisgraphy.com,1,1,1,1,1,1,6,0
github.com,1,1,1,0,0,1,4,2
gitlab.com,1,1,0,0,0,1,3,3
googleapis.com:abusiveexperiencereport,1,1,0,1,0,1,4,2
googleapis.com:acceleratedmobilepageurl,1,1,0,1,0,1,4,2
googleapis.com:adexchangebuyer,1,1,1,1,1,1,6,0
googleapis.com:adexchangebuyer2,1,1,1,1,1,1,6,0
googleapis.com:adexchangeseller,1,1,1,1,1,1,6,0
googleapis.com:adexperiencereport,1,1,0,1,0,1,4,2
googleapis.com:admin,1,1,1,1,1,1,6,0
googleapis.com:adsense,1,1,0,1,0,1,4,2
googleapis.com:adsensehost,1,1,0,1,0,1,4,2
googleapis.com:analytics,1,1,1,1,1,1,6,0
googleapis.com:analyticsreporting,1,1,0,1,0,1,4,2
googleapis.com:androiddeviceprovisioning,1,1,0,1,0,1,4,2
googleapis.com:androidenterprise,1,1,0,1,0,1,4,2
googleapis.com:androidmanagement,1,1,0,1,0,1,4,2
googleapis.com:androidpublisher,1,1,0,1,0,1,4,2
googleapis.com:appengine,1,1,0,1,0,1,4,2
googleapis.com:appsactivity,1,1,0,1,0,1,4,2
googleapis.com:appstate,1,1,0,1,0,1,4,2
googleapis.com:bigquery,1,1,0,1,0,1,4,2
googleapis.com:bigquerydatatransfer,1,1,0,1,0,1,4,2
googleapis.com:blogger,1,1,1,1,1,1,6,0
googleapis.com:books,1,1,1,1,1,1,6,0
googleapis.com:calendar,1,1,0,1,0,1,4,2
googleapis.com:chat,1,0,0,1,0,1,3,3
googleapis.com:civicinfo,1,1,1,1,1,1,6,0
googleapis.com:classroom,1,1,0,1,0,1,4,2
googleapis.com:cloudbilling,1,1,0,1,0,1,4,2
googleapis.com:cloudbuild,1,1,0,1,0,1,4,2
googleapis.com:clouddebugger,1,1,0,1,0,1,4,2
googleapis.com:clouderrorreporting,1,1,0,1,0,1,4,2
googleapis.com:cloudfunctions,1,1,0,1,0,1,4,2
googleapis.com:cloudiot,1,1,0,1,0,1,4,2
googleapis.com:cloudkms,1,1,0,1,0,1,4,2
googleapis.com:cloudmonitoring,1,1,0,1,0,1,4,2
googleapis.com:cloudresourcemanager,1,1,0,1,0,1,4,2
googleapis.com:cloudshell,1,1,0,1,0,1,4,2
googleapis.com:cloudtasks,1,1,0,1,0,1,4,2
googleapis.com:cloudtrace,1,1,0,1,0,1,4,2
googleapis.com:clouduseraccounts,1,1,1,1,1,1,6,0
googleapis.com:compute,1,1,0,1,0,1,4,2
googleapis.com:consumersurveys,1,1,0,1,0,1,4,2
googleapis.com:container,1,1,0,1,0,1,4,2
googleapis.com:content,1,1,0,1,0,1,4,2
googleapis.com:customsearch,1,1,1,1,1,1,6,0
googleapis.com:dataflow,1,1,0,1,0,1,4,2
googleapis.com:dataproc,1,1,0,1,0,1,4,2
googleapis.com:datastore,1,1,0,1,0,1,4,2
googleapis.com:deploymentmanager,1,1,0,1,0,1,4,2
googleapis.com:dfareporting,1,1,1,1,1,1,6,0
googleapis.com:digitalassetlinks,1,1,0,1,0,1,4,2
googleapis.com:discovery,1,1,1,1,1,1,6,0
googleapis.com:dlp,1,1,0,1,0,1,4,2
googleapis.com:dns,1,1,0,1,0,1,4,2
googleapis.com:doubleclickbidmanager,1,1,0,1,0,1,4,2
googleapis.com:doubleclicksearch,1,1,0,1,0,1,4,2
googleapis.com:drive,1,1,0,1,0,1,4,2
googleapis.com:firebasedynamiclinks,1,1,0,1,0,1,4,2
googleapis.com:firebaseremoteconfig,1,1,1,1,1,1,6,0
googleapis.com:firebaserules,1,1,0,1,0,1,4,2
googleapis.com:firestore,1,0,0,1,0,1,3,3
googleapis.com:fitness,1,1,1,1,1,1,6,0
googleapis.com:fusiontables,1,1,1,1,1,1,6,0
googleapis.com:games,1,1,0,1,0,1,4,2
googleapis.com:gamesConfiguration,1,1,0,1,0,1,4,2
googleapis.com:gamesManagement,1,1,0,1,0,1,4,2
googleapis.com:genomics,1,1,0,1,0,1,4,2
googleapis.com:gmail,1,1,0,1,0,1,4,2
googleapis.com:groupsmigration,1,1,1,1,1,1,6,0
googleapis.com:groupssettings,1,1,1,1,1,1,6,0
googleapis.com:iam,1,1,0,1,0,1,4,2
googleapis.com:identitytoolkit,1,1,1,1,1,1,6,0
googleapis.com:kgsearch,1,1,0,1,0,1,4,2
googleapis.com:language,1,1,0,1,0,1,4,2
googleapis.com:licensing,1,1,1,1,1,1,6,0
googleapis.com:logging,1,1,0,1,0,1,4,2
googleapis.com:manufacturers,1,1,0,1,0,1,4,2
googleapis.com:mirror,1,1,0,1,0,1,4,2
googleapis.com:ml,1,1,0,1,0,1,4,2
googleapis.com:monitoring,1,1,0,1,0,1,4,2
googleapis.com:oauth2,1,1,1,1,1,1,6,0
googleapis.com:oslogin,1,1,0,1,0,1,4,2
googleapis.com:pagespeedonline,1,1,0,1,0,1,4,2
googleapis.com:partners,1,1,0,1,0,1,4,2
googleapis.com:people,1,1,0,1,0,1,4,2
googleapis.com:playcustomapp,1,1,1,1,1,1,6,0
googleapis.com:playmoviespartner,1,1,1,1,1,1,6,0
googleapis.com:plus,1,1,0,1,0,1,4,2
googleapis.com:plusDomains,1,1,0,1,0,1,4,2
googleapis.com:poly,1,1,0,1,0,1,4,2
googleapis.com:prediction,1,1,1,1,1,1,6,0
googleapis.com:proximitybeacon,1,1,0,1,0,1,4,2
googleapis.com:pubsub,1,1,0,1,0,1,4,2
googleapis.com:qpxExpress,1,1,0,1,0,1,4,2
googleapis.com:replicapool,1,1,1,1,1,1,6,0
googleapis.com:replicapoolupdater,1,1,1,1,1,1,6,0
googleapis.com:reseller,1,1,1,1,1,1,6,0
googleapis.com:resourceviews,1,1,1,1,1,1,6,0
googleapis.com:runtimeconfig,1,1,0,1,0,1,4,2
googleapis.com:safebrowsing,1,1,0,1,0,1,4,2
googleapis.com:script,1,1,0,1,0,1,4,2
googleapis.com:searchconsole,1,1,0,1,0,1,4,2
googleapis.com:serviceconsumermanagement,1,1,0,1,0,1,4,2
googleapis.com:servicecontrol,1,1,0,1,0,1,4,2
googleapis.com:servicemanagement,1,1,0,1,0,1,4,2
googleapis.com:serviceusage,1,1,0,1,0,1,4,2
googleapis.com:serviceuser,1,1,0,1,0,1,4,2
googleapis.com:sheets,1,1,0,1,0,1,4,2
googleapis.com:siteVerification,1,1,1,1,1,1,6,0
googleapis.com:slides,1,1,0,1,0,1,4,2
googleapis.com:sourcerepo,1,1,0,1,0,1,4,2
googleapis.com:spanner,1,1,0,1,0,1,4,2
googleapis.com:spectrum,1,1,0,1,0,1,4,2
googleapis.com:speech,1,1,0,1,0,1,4,2
googleapis.com:sqladmin,1,1,0,1,0,1,4,2
googleapis.com:storage,1,1,0,1,0,1,4,2
googleapis.com:storagetransfer,1,1,0,1,0,1,4,2
googleapis.com:streetviewpublish,1,1,0,1,0,1,4,2
googleapis.com:surveys,1,1,1,1,1,1,6,0
googleapis.com:tagmanager,1,1,1,1,1,1,6,0
googleapis.com:taskqueue,1,1,1,1,1,1,6,0
googleapis.com:tasks,1,1,1,1,1,1,6,0
googleapis.com:testing,1,1,0,1,0,1,4,2
googleapis.com:toolresults,1,1,0,1,0,1,4,2
googleapis.com:tpu,1,1,0,1,0,1,4,2
googleapis.com:tracing,1,1,1,1,1,1,6,0
googleapis.com:translate,1,1,0,1,0,1,4,2
googleapis.com:urlshortener,1,1,1,1,1,1,6,0
googleapis.com:vault,1,1,0,1,0,1,4,2
googleapis.com:videointelligence,1,1,0,1,0,1,4,2
googleapis.com:vision,1,1,0,1,0,1,4,2
googleapis.com:webfonts,1,1,1,1,1,1,6,0
googleapis.com:webmasters,1,1,0,1,0,1,4,2
googleapis.com:youtube,1,1,0,1,0,1,4,2
googleapis.com:youtubeAnalytics,1,1,0,1,0,1,4,2
googleapis.com:youtubereporting,1,1,0,1,0,1,4,2
gov.bc.ca:bcdc,1,1,1,1,1,1,6,0
gov.bc.ca:bcgnws,1,1,0,1,1,1,5,1
gov.bc.ca:geocoder,1,1,1,1,1,1,6,0
gov.bc.ca:geomark,1,1,1,1,1,1,6,0
gov.bc.ca:jobposting,1,1,0,0,0,1,3,3
gov.bc.ca:news,1,1,0,0,1,1,4,2
gov.bc.ca:open511,1,1,1,1,1,1,6,0
gov.bc.ca:router,1,1,1,1,1,1,6,0
graphhopper.com,1,1,0,0,0,1,3,3
greenpeace.org,1,1,1,1,1,1,6,0
gsa.gov,1,1,0,1,0,1,4,2
hackathonwatch.com,1,0,0,1,0,1,3,3
haloapi.com:metadata,1,1,0,1,0,1,4,2
haloapi.com:profile,1,1,0,1,0,1,4,2
haloapi.com:stats,1,1,0,1,0,1,4,2
haloapi.com:ugc,1,1,0,1,0,1,4,2
healthcare.gov,1,0,0,0,0,1,2,4
hetras-certification.net:booking,1,0,0,0,0,1,2,4
hetras-certification.net:hotel,1,0,0,0,0,1,2,4
hhs.gov,1,1,1,1,1,1,6,0
highwaysengland.co.uk,1,0,0,1,0,1,3,3
hsbc.com,1,0,0,1,0,1,3,3
icons8.com,1,1,0,0,0,1,3,3
idtbeyond.com,1,1,1,0,0,1,4,2
ijenko.net,1,0,0,1,0,1,3,3
illumidesk.com,1,0,0,0,0,1,2,4
import.io:data,1,0,0,0,0,1,2,4
import.io:extraction,1,0,0,0,0,1,2,4
import.io:rss,1,0,0,0,0,1,2,4
import.io:run,1,0,0,0,0,1,2,4
import.io:schedule,1,0,0,0,0,1,2,4
inboxroute.com,1,1,0,1,0,1,4,2
infermedica.com,1,1,0,1,0,1,4,2
instagram.com,1,1,1,1,0,1,5,1
instawell.com,1,1,0,1,1,1,5,1
iqualify.com,1,1,0,1,0,1,4,2
isbndb.com,1,1,0,0,0,1,3,3
isendpro.com,1,1,1,1,0,1,5,1
iva-api.com,1,1,0,1,1,1,5,1
je-apis.com,1,0,0,1,0,1,3,3
jirafe.com,1,1,1,1,0,1,5,1
jumpseller.com,1,1,0,1,0,1,4,2
just-eat.co.uk,1,1,0,1,0,1,4,2
koomalooma.com,1,1,1,1,0,1,5,1
kubernetes.io,1,0,0,1,0,1,3,3
landregistry.gov.uk:deed,1,1,0,1,0,1,4,2
launchdarkly.com,1,1,1,1,1,1,6,0
learnifier.com,1,0,0,0,0,1,2,4
letmc.com:basic-tier,1,0,0,1,0,1,3,3
letmc.com:customer,1,0,0,1,0,1,3,3
letmc.com:diary,1,0,0,1,0,1,3,3
letmc.com:free-tier,1,0,0,1,0,1,3,3
letmc.com:maintenance,1,0,0,1,0,1,3,3
letmc.com:reporting,1,0,0,1,0,1,3,3
link.fish,1,1,1,1,0,1,5,1
loganalytics.io:operationalinsights-OperationalInsights,1,1,1,1,1,1,6,0
lotadata.com,1,1,0,0,0,1,3,3
lufthansa.com:partner,1,0,0,0,1,1,3,3
lufthansa.com:public,1,0,0,0,1,1,3,3
lyft.com,1,1,0,1,0,1,4,2
magento.com,1,1,0,0,0,1,3,3
magick.nu,1,1,0,1,0,1,4,2
mandrillapp.com,1,1,0,0,0,1,3,3
mashape.com:geodb,1,1,0,0,1,1,4,2
mcw.edu,1,1,1,1,1,1,6,0
medium.com,1,1,1,1,0,1,5,1
miataru.com,1,1,0,1,1,1,5,1
microsoft.com:cognitiveservices-CustomSearch,1,1,0,1,0,1,4,2
microsoft.com:cognitiveservices-EntitySearch,1,1,0,1,0,1,4,2
microsoft.com:cognitiveservices-ImageSearch,1,1,0,1,0,1,4,2
microsoft.com:cognitiveservices-NewsSearch,1,1,0,1,0,1,4,2
microsoft.com:cognitiveservices-Prediction,1,0,0,1,0,1,3,3
microsoft.com:cognitiveservices-SpellCheck,1,1,0,1,0,1,4,2
microsoft.com:cognitiveservices-Training,1,0,0,1,0,1,3,3
microsoft.com:cognitiveservices-VideoSearch,1,1,0,1,0,1,4,2
microsoft.com:cognitiveservices-WebSearch,1,1,0,1,0,1,4,2
moonmoonmoonmoon.com,1,1,0,0,0,1,3,3
motaword.com,1,1,0,0,0,1,3,3
mozilla.com:kinto,1,0,0,0,0,1,2,4
nativeads.com,1,1,0,0,0,1,3,3
naviplancentral.com:factfinder,1,1,0,1,0,1,4,2
naviplancentral.com:plan,1,1,0,1,0,1,4,2
nba.com,1,1,0,0,0,1,3,3
neowsapp.com,1,1,0,0,0,1,3,3
netatmo.net,1,1,1,1,1,1,6,0
netlicensing.io,1,1,1,0,0,1,4,2
netlify.com,1,0,0,1,0,1,3,3
neutrinoapi.com,1,1,0,1,1,1,5,1
nfusionsolutions.biz,1,1,0,1,1,1,5,1
noosh.com,1,1,0,1,0,1,4,2
npr.org,1,1,1,1,0,1,5,1
nrel.gov:building-case-studies,1,1,0,0,0,1,3,3
nrel.gov:transportation-incentives-laws,1,1,0,0,0,1,3,3
nsidc.org,1,1,0,1,0,1,4,2
nytimes.com:archive,1,1,1,0,0,1,4,2
nytimes.com:article_search,1,1,1,0,0,1,4,2
nytimes.com:books_api,1,1,1,0,0,1,4,2
nytimes.com:community,1,1,1,0,0,1,4,2
nytimes.com:geo_api,1,1,1,0,0,1,4,2
nytimes.com:most_popular_api,1,1,1,0,0,1,4,2
nytimes.com:movie_reviews,1,1,1,0,0,1,4,2
nytimes.com:semantic_api,1,1,1,0,0,1,4,2
nytimes.com:times_tags,1,1,1,0,0,1,4,2
nytimes.com:timeswire,1,1,1,0,0,1,4,2
nytimes.com:top_stories,1,1,1,0,0,1,4,2
o2.cz:mobility,1,1,0,1,1,1,5,1
o2.cz:sociodemo,1,1,0,1,1,1,5,1
oceandrivers.com,1,1,0,1,0,1,4,2
omdbapi.com,1,1,1,1,1,1,6,0
openapi-converter.herokuapp.com,1,1,1,1,1,1,6,0
openbanking.org.uk,1,1,0,0,0,1,3,3
opencagedata.com,1,1,1,1,0,1,5,1
opendatasoft.com,1,0,0,1,0,1,3,3
openfintech.io,1,1,0,1,0,1,4,2
openstf.io,1,1,0,1,1,1,5,1
opentargets.io,1,1,1,1,1,1,6,0
orghunter.com,1,1,0,0,0,1,3,3
osf.io,1,1,0,1,1,1,5,1
osisoft.com,1,1,1,1,1,1,6,0
owler.com,1,1,0,0,0,1,3,3
oxforddictionaries.com,1,0,1,0,1,1,4,2
paccurate.io,1,0,0,1,0,1,3,3
pandorabots.com,1,1,0,0,0,1,3,3
passwordutility.net,1,1,0,0,0,1,3,3
patientview.org,1,1,1,0,0,1,4,2
paylocity.com,1,1,1,1,0,1,5,1
payments.service.gov.uk:payments,1,1,0,1,0,1,4,2
payrun.io,1,1,0,1,0,1,4,2
peel-ci.com,1,1,0,1,0,1,4,2
personio.de:authentication,1,1,0,1,0,1,4,2
personio.de:personnel,1,1,0,1,0,1,4,2
phila.gov:pollingplaces,1,1,0,1,0,1,4,2
polygon.io,1,1,0,1,0,1,4,2
postmarkapp.com:account,1,1,0,0,0,1,3,3
postmarkapp.com:server,1,1,0,0,0,1,3,3
posty-api.herokuapp.com,1,1,0,0,0,1,3,3
ptv.vic.gov.au,1,1,1,1,1,1,6,0
qualpay.com,1,1,0,1,1,1,5,1
quotes.rest,1,1,1,1,0,1,5,1
rbaskets.in,1,1,0,1,1,1,5,1
rebilly.com,1,1,1,1,1,1,6,0
receptive.io,1,1,0,1,0,1,4,2
refugerestrooms.org,1,1,0,0,0,1,3,3
reverb.com,1,1,1,1,1,1,6,0
ritc.io,1,1,0,0,0,1,3,3
ritekit.com,1,1,0,0,0,1,3,3
roaring.io,1,0,0,1,0,1,3,3
rottentomatoes.com,1,1,0,1,1,1,5,1
rummblelabs.com,1,1,0,0,0,1,3,3
runscope.com,1,1,0,0,0,1,3,3
salesloft.com,1,1,0,1,0,1,4,2
schooldigger.com,1,1,1,1,0,1,5,1
scrapewebsite.email,1,1,0,0,0,1,3,3
selectpdf.com,1,1,0,1,0,1,4,2
semantria.com,1,1,0,1,0,1,4,2
sendgrid.com,1,1,0,0,0,1,3,3
shipstation.com,1,1,0,0,0,1,3,3
simplyrets.com,1,1,0,0,0,1,3,3
slack.com,1,1,0,0,0,1,3,3
slicebox.local,1,1,0,1,1,1,5,1
slideroom.com,1,1,0,0,0,1,3,3
smart-me.com,1,1,0,0,0,1,3,3
solarvps.com,1,1,0,1,0,1,4,2
spectrocoin.com,1,1,0,1,0,1,4,2
spinbot.net,1,1,1,1,0,1,5,1
spinitron.com,1,1,0,1,0,1,4,2
spotify.com,1,0,0,0,0,1,2,4
squareup.com,1,1,1,1,1,1,6,0
stackexchange.com,1,1,0,0,0,1,3,3
staging-ecotaco.com,1,1,0,0,0,1,3,3
statsocial.com,1,1,0,0,0,1,3,3
stoplight.io,1,0,0,1,0,1,3,3
storecove.com,1,1,0,1,0,1,4,2
stripe.com,1,1,1,1,0,1,5,1
surrey.ca:open511,1,1,0,1,1,1,5,1
surrey.ca:trafficloops,1,1,1,1,1,1,6,0
swagger.io:generator,1,1,1,1,1,1,6,0
swaggerhub.com,1,1,0,1,0,1,4,2
synq.fm,1,1,0,0,0,1,3,3
taggun.io,1,1,0,1,0,1,4,2
taxamo.com,1,1,0,0,0,1,3,3
taxrates.io,1,1,1,1,1,1,6,0
