,implemented fields,missing fields,clusters
azure.com:applicationinsights-componentApiKeys_API,11,4,0
azure.com:applicationinsights-componentContinuousExport_API,11,4,0
azure.com:applicationinsights-componentFeaturesAndPricing_API,11,4,0
azure.com:applicationinsights-componentProactiveDetection_API,11,4,0
azure.com:applicationinsights-componentWorkItemConfigs_API,11,4,0
azure.com:applicationinsights-components_API,11,4,0
azure.com:applicationinsights-favorites_API,11,4,0
azure.com:applicationinsights-webTestLocations_API,11,4,0
azure.com:applicationinsights-webTests_API,11,4,0
azure.com:authorization,11,4,0
azure.com:authorization-authorization-ClassicAdminCalls,11,4,0
azure.com:authorization-authorization-RACalls,11,4,0
azure.com:authorization-authorization-RoleBasedCalls,11,4,0
azure.com:automation-account,11,4,0
azure.com:automation-certificate,11,4,0
azure.com:automation-connection,11,4,0
azure.com:automation-connectionType,11,4,0
azure.com:automation-credential,11,4,0
azure.com:automation-dscCompilationJob,11,4,0
azure.com:automation-dscConfiguration,11,4,0
azure.com:automation-dscNode,11,4,0
azure.com:automation-dscNodeConfiguration,11,4,0
azure.com:automation-hybridRunbookWorkerGroup,11,4,0
azure.com:automation-job,11,4,0
azure.com:automation-jobSchedule,11,4,0
azure.com:automation-linkedWorkspace,11,4,0
azure.com:automation-module,11,4,0
azure.com:automation-runbook,11,4,0
azure.com:automation-schedule,11,4,0
azure.com:automation-softwareUpdateConfiguration,10,5,1
azure.com:automation-softwareUpdateConfigurationMachineRun,10,5,1
azure.com:automation-softwareUpdateConfigurationRun,10,5,1
azure.com:automation-sourceControl,9,6,3
azure.com:automation-sourceControlSyncJob,9,6,3
azure.com:automation-variable,11,4,0
azure.com:automation-webhook,11,4,0
azure.com:azsadmin-Alert,11,4,0
azure.com:azsadmin-CommerceAdmin,11,4,0
azure.com:azsadmin-EdgeGateway,11,4,0
azure.com:azsadmin-EdgeGatewayPool,11,4,0
azure.com:azsadmin-FabricLocation,11,4,0
azure.com:azsadmin-FileShare,11,4,0
azure.com:azsadmin-InfraRole,11,4,0
azure.com:azsadmin-InfraRoleInstance,11,4,0
azure.com:azsadmin-IpPool,11,4,0
azure.com:azsadmin-LogicalNetwork,11,4,0
azure.com:azsadmin-LogicalSubnet,11,4,0
azure.com:azsadmin-MacAddressPool,11,4,0
azure.com:azsadmin-Operations,11,4,0
azure.com:azsadmin-RegionHealth,11,4,0
azure.com:azsadmin-ResourceHealth,10,5,1
azure.com:azsadmin-ScaleUnit,11,4,0
azure.com:azsadmin-ScaleUnitNode,11,4,0
azure.com:azsadmin-ServiceHealth,11,4,0
azure.com:azsadmin-SlbMuxInstance,11,4,0
azure.com:azsadmin-StoragePool,11,4,0
azure.com:azsadmin-StorageSystem,11,4,0
azure.com:azsadmin-Volume,11,4,0
azure.com:azurestack-AzureStack,11,4,0
azure.com:azurestack-CustomerSubscription,11,4,0
azure.com:azurestack-Product,11,4,0
azure.com:azurestack-Registration,11,4,0
azure.com:batch-BatchManagement,11,4,0
azure.com:batchai-BatchAI,11,4,0
azure.com:billing,11,4,0
azure.com:cdn,11,4,0
azure.com:cognitiveservices,10,5,1
