,swagger,info,host,basePath,schemes,consumes,produces,paths,definitions,parameters,responses,securityDefinitions,security,tags,externalDocs,implemented fields,missing fields
azure.com:azsadmin-StorageSystem,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:azsadmin-Volume,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:azurestack-AzureStack,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:azurestack-CustomerSubscription,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:azurestack-Product,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:azurestack-Registration,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:batch-BatchManagement,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:batchai-BatchAI,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:billing,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:cdn,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:cognitiveservices,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:cognitiveservices-ComputerVision,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,10,5
azure.com:cognitiveservices-ContentModerator,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,10,5
azure.com:cognitiveservices-Face,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,10,5
azure.com:cognitiveservices-LUIS-Programmatic,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,10,5
azure.com:cognitiveservices-LUIS-Runtime,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,10,5
azure.com:cognitiveservices-TextAnalytics,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,11,4
azure.com:commerce,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,9,6
azure.com:compute,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:compute-containerService,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:compute-disk,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:compute-runCommands,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:compute-skus,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:compute-swagger,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:consumption,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,12,3
azure.com:containerinstance-containerInstance,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:containerregistry,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:containerservices-containerService,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:containerservices-location,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:containerservices-managedClusters,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:cosmos-db,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:customer-insights,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:datacatalog,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:datafactory,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:datalake-analytics-account,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:datalake-analytics-catalog,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,9,6
azure.com:datalake-analytics-job,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,9,6
azure.com:datalake-store-account,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:datalake-store-filesystem,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,9,6
azure.com:datamigration,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:deviceprovisioningservices-iotdps,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:devtestlabs-DTL,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:dns,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:domainservices,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:eventgrid-EventGrid,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:eventhub-EventHub,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:hanaonazure,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:hdinsight-applications,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:hdinsight-capabilities,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:hdinsight-cluster,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:hdinsight-configurations,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:hdinsight-extensions,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:hdinsight-operations,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:hdinsight-scriptActions,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:intune,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,9,6
azure.com:iothub,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:keyvault,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,9,6
azure.com:keyvault-providers,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:keyvault-secrets,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:locationbasedservices,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:logic,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:machinelearning-commitmentPlans,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:machinelearning-webservices,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:machinelearning-workspaces,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:machinelearningcompute-machineLearningCompute,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:machinelearningexperimentation-machineLearningExperimentation,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:managementgroups-management,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,12,3
azure.com:managementpartner-ManagementPartner,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:marketplaceordering-Agreements,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:mediaservices-media,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:migrate,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:mobileengagement-mobile-engagement,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:monitor-actionGroups_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:monitor-activityLogAlerts_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:monitor-activityLogs_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:monitor-alertRulesIncidents_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:monitor-alertRules_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:monitor-autoscale_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:monitor-baseline_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:monitor-calculateBaseline_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:monitor-diagnosticsSettingsCategories_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:monitor-diagnosticsSettings_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:monitor-eventCategories_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:monitor-logProfiles_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:monitor-metricDefinitions_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:monitor-metrics_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:monitor-operations_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:monitor-serviceDiagnosticsSettings_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:monitor-tenantActivityLogs_API,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:msi-ManagedIdentity,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:mysql,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:network,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:network-applicationGateway,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:network-applicationSecurityGroup,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:network-checkDnsAvailability,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:network-endpointService,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:network-expressRouteCircuit,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:network-loadBalancer,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:network-networkInterface,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:network-networkSecurityGroup,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:network-networkWatcher,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:network-operation,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:network-publicIpAddress,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:network-routeFilter,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:network-routeTable,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:network-serviceCommunity,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:network-usage,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:network-virtualNetwork,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:network-virtualNetworkGateway,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:network-vmssNetworkInterface,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:network-vmssPublicIpAddress,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:notificationhubs,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:operationalinsights-OperationalInsights,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:operationsmanagement-OperationsManagement,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:policyinsights-policyEvents,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,10,5
azure.com:policyinsights-policyStates,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,10,5
azure.com:postgresql,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:powerbidedicated,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:powerbiembedded,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,9,6
azure.com:provisioningservices-iotdps,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:recoveryservices-backup,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:recoveryservices-registeredidentities,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:recoveryservices-replicationusages,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:recoveryservices-vaults,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:recoveryservices-vaultusages,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:recoveryservicesbackup,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:recoveryservicesbackup-backupManagement,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:recoveryservicesbackup-bms,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:recoveryservicesbackup-jobs,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:recoveryservicesbackup-operations,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:recoveryservicesbackup-registeredIdentities,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:recoveryservicessiterecovery-service,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:redis,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:relay,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:reservations,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:resourcehealth,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,10,5
azure.com:resources,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:resources-features,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:resources-links,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:resources-locks,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:resources-managedapplications,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:resources-management,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,12,3
azure.com:resources-policy,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:resources-policyAssignments,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:resources-policyDefinitions,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:resources-policySetDefinitions,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:resources-subscriptions,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:scheduler,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,9,6
azure.com:search,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:search-searchindex,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,9,6
azure.com:search-searchservice,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,9,6
azure.com:servermanagement,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:service-map-arm-service-map,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:servicebus,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:servicefabric,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,8,7
azure.com:sql-Databases,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-advisors,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-backupLongTermRetentionPolicies,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-backupLongTermRetentionVaults,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-backups,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-blobAuditingPolicies,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-cancelOperations,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-cancelPoolOperations,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-capabilities,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-checkNameAvailability,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-connectionPolicies,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-dataMasking,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-dataWarehouseUserActivities,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-databaseAutomaticTuning,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-databaseSecurityAlertPolicies,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-databases,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-deprecated,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-disasterRecoveryConfigurations,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-elasticPools,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-encryptionProtectors,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-failoverGroups,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-firewallRules,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-geoBackupPolicies,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-importExport,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-managedDatabases,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-metrics,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-operations,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-queries,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-renameDatabase,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-replicationLinks,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-restorePoints,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-serverAutomaticTuning,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-serverAzureADAdministrators,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-serverCommunicationLinks,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-serverDnsAliases,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-serverKeys,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-servers,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-serviceObjectives,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-sql.core,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-syncAgents,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-syncGroups,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-syncMembers,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-tableAuditing,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-usages,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:sql-virtualNetworkRules,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,10,5
azure.com:storage,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:storageimportexport,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:storsimple8000series-storsimple,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:streamanalytics-functions,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:streamanalytics-inputs,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:streamanalytics-outputs,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:streamanalytics-streamingjobs,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:streamanalytics-subscriptions,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:streamanalytics-transformations,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:subscription-subscriptionDefinitions,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:timeseriesinsights,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:trafficmanager,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:trafficmanager-trafficmanageranalytics,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:visualstudio-Csm,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:web-AppServiceCertificateOrders,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:web-AppServiceEnvironments,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:web-AppServicePlans,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:web-CertificateRegistrationProvider,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:web-Certificates,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:web-DeletedWebApps,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:web-Diagnostics,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:web-DomainRegistrationProvider,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:web-Domains,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:web-Provider,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:web-Recommendations,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:web-ResourceProvider,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:web-TopLevelDomains,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:web-WebApps,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:web-logicAppsManagementClient,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,11,4
azure.com:web-service,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,9,6
bbc.co.uk,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,11,4
bbc.com,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,13,2
bbci.co.uk,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,13,2
bclaws.ca:bclaws,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,9,6
beanstream.com,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,8,7
beezup.com,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,14,1
betfair.com,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,9,6
bigoven.com,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,9,6
bikewise.org,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,9,6
bitbucket.org,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,12,3
blazemeter.com,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,11,4
bluemix.net:containers,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,8,7
botify.com,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,11,4
box.com:authorization,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,9,6
box.com:content,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,13,2
box.com:token,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,9,6
box.com:upload,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,11,4
brandlovers.com,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,11,4
brex.io,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3,12
browshot.com,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,10,5
bufferapp.com,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,11,4
bungie.net,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,10,5
callfire.com,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,11,4
cambase.io,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,7,8
carbondoomsday.com,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,11,4
ccp.is,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,10,5
cenit.io,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,13,2
channel4.com,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,14,1
circleci.com,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,12,3
circuitsandbox.net,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,8,7
cisco.com,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,7,8
citrixonline.com:gotomeeting,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,12,3
citrixonline.com:scim,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,12,3
citycontext.com,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,11,4
clarify.io,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,8,7
clever-cloud.com,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,8,7
clever.com,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,11,4
clickmeter.com,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,8,7
cloudmersive.com:ocr,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,9,6
cnab-online.herokuapp.com,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,8,7
code-scan.com,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,10,5
consumerfinance.gov,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,9,6
core.ac.uk,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,10,5
cybertaxonomy.eu,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,9,6
data.gov,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,10,5
data2crm.com,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,12,3
dataatwork.org,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,9,6
datumbox.com,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,8,7
deeparteffects.com,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,9,6
deutschebahn.com:betriebsstellen,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,9,6
deutschebahn.com:fahrplan,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,9,6
deutschebahn.com:fasta,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,11,4
deutschebahn.com:flinkster,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,9,6
deutschebahn.com:reisezentren,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,9,6
deutschebahn.com:stada,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,7,8
digitallinguistics.io,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,0
docker.com:engine,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,10,5
docusign.net,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,14,1
domainsdb.info,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,11,4
dracoon.team,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,8,7
dropx.io,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,8,7
dweet.io,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,7,8
