"","X","paths","operations","pam_fit$clustering"
"250","azure.com:automation-account",7,10,13
"251","azure.com:automation-certificate",2,5,17
"252","azure.com:automation-connection",2,5,17
"253","azure.com:automation-connectionType",2,4,14
"254","azure.com:automation-credential",2,5,17
"255","azure.com:automation-dscCompilationJob",4,5,17
"256","azure.com:automation-dscConfiguration",3,6,5
"257","azure.com:automation-dscNode",7,9,13
"258","azure.com:automation-dscNodeConfiguration",2,4,14
"259","azure.com:automation-hybridRunbookWorkerGroup",2,4,14
"260","azure.com:automation-job",9,10,13
"261","azure.com:automation-jobSchedule",2,4,14
"262","azure.com:automation-linkedWorkspace",1,1,8
"263","azure.com:automation-module",7,10,13
"264","azure.com:automation-runbook",13,18,9
"265","azure.com:automation-schedule",2,5,17
"266","azure.com:automation-softwareUpdateConfiguration",2,4,14
"267","azure.com:automation-softwareUpdateConfigurationMachineRun",2,2,1
"268","azure.com:automation-softwareUpdateConfigurationRun",2,2,1
"269","azure.com:automation-sourceControl",2,5,17
"270","azure.com:automation-sourceControlSyncJob",2,3,6
"271","azure.com:automation-variable",2,5,17
"272","azure.com:automation-webhook",3,6,5
"273","azure.com:azsadmin-Alert",2,3,6
"274","azure.com:azsadmin-CommerceAdmin",1,1,8
"275","azure.com:azsadmin-EdgeGateway",2,2,1
"276","azure.com:azsadmin-EdgeGatewayPool",2,2,1
"277","azure.com:azsadmin-FabricLocation",2,2,1
"278","azure.com:azsadmin-FileShare",2,2,1
"279","azure.com:azsadmin-InfraRole",2,2,1
"280","azure.com:azsadmin-InfraRoleInstance",6,6,5
"281","azure.com:azsadmin-IpPool",2,3,6
"282","azure.com:azsadmin-LogicalNetwork",2,2,1
"283","azure.com:azsadmin-LogicalSubnet",2,2,1
"284","azure.com:azsadmin-MacAddressPool",2,2,1
"285","azure.com:azsadmin-Operations",2,2,1
"286","azure.com:azsadmin-RegionHealth",2,2,1
"287","azure.com:azsadmin-ResourceHealth",2,2,1
"288","azure.com:azsadmin-ScaleUnit",2,2,1
"289","azure.com:azsadmin-ScaleUnitNode",6,6,5
"290","azure.com:azsadmin-ServiceHealth",2,2,1
"291","azure.com:azsadmin-SlbMuxInstance",2,2,1
"292","azure.com:azsadmin-StoragePool",2,2,1
"293","azure.com:azsadmin-StorageSystem",2,2,1
"294","azure.com:azsadmin-Volume",2,2,1
"295","azure.com:azurestack-AzureStack",1,1,8
"296","azure.com:azurestack-CustomerSubscription",2,4,14
"297","azure.com:azurestack-Product",3,3,6
"298","azure.com:azurestack-Registration",3,5,17
"299","azure.com:batch-BatchManagement",11,19,9
"300","azure.com:batchai-BatchAI",14,21,9
"301","azure.com:billing",4,4,14
"302","azure.com:cdn",17,29,4
"303","azure.com:cognitiveservices",6,9,13
"304","azure.com:cognitiveservices-ComputerVision",9,9,13
"305","azure.com:cognitiveservices-ContentModerator",24,35,12
"306","azure.com:cognitiveservices-Face",17,28,4
"307","azure.com:cognitiveservices-LUIS-Programmatic",56,97,10
"308","azure.com:cognitiveservices-LUIS-Runtime",1,2,1
"309","azure.com:cognitiveservices-TextAnalytics",3,3,6
"310","azure.com:commerce",2,2,1
"311","azure.com:compute",45,54,3
"312","azure.com:compute-containerService",2,4,14
"313","azure.com:compute-disk",10,16,16
"314","azure.com:compute-runCommands",3,3,6
"315","azure.com:compute-skus",1,1,8
"316","azure.com:compute-swagger",1,1,8
"317","azure.com:consumption",2,2,1
"318","azure.com:containerinstance-containerInstance",4,6,5
"319","azure.com:containerregistry",6,9,13
"320","azure.com:containerservices-containerService",3,5,17
"321","azure.com:containerservices-location",1,1,8
"322","azure.com:containerservices-managedClusters",5,7,5
"323","azure.com:cosmos-db",29,32,4
"324","azure.com:customer-insights",36,59,3
"325","azure.com:datacatalog",3,6,5
"326","azure.com:datafactory",34,49,3
"327","azure.com:datalake-analytics-account",11,18,16
"328","azure.com:datalake-analytics-catalog",27,30,4
"329","azure.com:datalake-analytics-job",6,7,5
"330","azure.com:datalake-store-account",8,11,2
"331","azure.com:datalake-store-filesystem",18,23,9
"332","azure.com:datamigration",17,29,4
"333","azure.com:deviceprovisioningservices-iotdps",13,17,16
"334","azure.com:devtestlabs-DTL",35,57,3
"335","azure.com:dns",6,10,13
"336","azure.com:domainservices",4,7,5
"337","azure.com:eventgrid-EventGrid",21,26,4
"338","azure.com:eventhub-EventHub",14,28,4
"339","azure.com:hanaonazure",4,4,14
"340","azure.com:hdinsight-applications",2,4,14
"341","azure.com:hdinsight-capabilities",1,1,8
"342","azure.com:hdinsight-cluster",4,7,5
"343","azure.com:hdinsight-configurations",1,2,1
"344","azure.com:hdinsight-extensions",2,6,5
"345","azure.com:hdinsight-operations",1,1,8
"346","azure.com:hdinsight-scriptActions",6,6,5
"347","azure.com:intune",23,33,4
"348","azure.com:iothub",15,19,9
"349","azure.com:keyvault",29,42,12
"350","azure.com:keyvault-providers",1,1,8
"351","azure.com:keyvault-secrets",2,4,14
"352","azure.com:locationbasedservices",7,10,13
"353","azure.com:logic",22,27,4
"354","azure.com:machinelearning-commitmentPlans",8,12,2
"355","azure.com:machinelearning-webservices",4,7,5
"356","azure.com:machinelearning-workspaces",6,9,13
"357","azure.com:machinelearningcompute-machineLearningCompute",7,10,13
"358","azure.com:machinelearningexperimentation-machineLearningExperimentation",8,17,16
"359","azure.com:managementgroups-management",3,3,6
"360","azure.com:managementpartner-ManagementPartner",2,5,17
"361","azure.com:marketplaceordering-Agreements",2,3,6
"362","azure.com:mediaservices-media",7,10,13
"363","azure.com:migrate",14,21,9
"364","azure.com:mobileengagement-mobile-engagement",33,40,12
"365","azure.com:monitor-actionGroups_API",4,7,5
"366","azure.com:monitor-activityLogAlerts_API",3,6,5
"367","azure.com:monitor-activityLogs_API",1,1,8
"368","azure.com:monitor-alertRulesIncidents_API",2,2,1
"369","azure.com:monitor-alertRules_API",2,5,17
"370","azure.com:monitor-autoscale_API",2,5,17
"371","azure.com:monitor-baseline_API",1,1,8
"372","azure.com:monitor-calculateBaseline_API",1,1,8
"373","azure.com:monitor-diagnosticsSettingsCategories_API",2,2,1
"374","azure.com:monitor-diagnosticsSettings_API",2,4,14
"375","azure.com:monitor-eventCategories_API",1,1,8
"376","azure.com:monitor-logProfiles_API",2,5,17
"377","azure.com:monitor-metricDefinitions_API",1,1,8
"378","azure.com:monitor-metrics_API",1,1,8
"379","azure.com:monitor-operations_API",1,1,8
"380","azure.com:monitor-serviceDiagnosticsSettings_API",1,2,1
"381","azure.com:monitor-tenantActivityLogs_API",1,1,8
"382","azure.com:msi-ManagedIdentity",4,7,5
"383","azure.com:mysql",14,22,9
"384","azure.com:network",57,87,10
"385","azure.com:network-applicationGateway",5,7,5
"386","azure.com:network-applicationSecurityGroup",3,5,17
"387","azure.com:network-checkDnsAvailability",1,1,8
"388","azure.com:network-endpointService",1,1,8
"389","azure.com:network-expressRouteCircuit",11,17,16
"390","azure.com:network-loadBalancer",3,5,17
"391","azure.com:network-networkInterface",3,5,17
"392","azure.com:network-networkSecurityGroup",5,9,13
"393","azure.com:network-networkWatcher",15,19,9
"394","azure.com:network-operation",1,1,8
"395","azure.com:network-publicIpAddress",3,5,17
"396","azure.com:network-routeFilter",5,11,2
"397","azure.com:network-routeTable",5,9,13
"398","azure.com:network-serviceCommunity",1,1,8
"399","azure.com:network-usage",1,1,8
"400","azure.com:network-virtualNetwork",5,9,13
"401","azure.com:network-virtualNetworkGateway",11,17,16
"402","azure.com:network-vmssNetworkInterface",3,3,6
"403","azure.com:network-vmssPublicIpAddress",3,3,6
"404","azure.com:notificationhubs",15,23,9
"405","azure.com:operationalinsights-OperationalInsights",11,15,16
"406","azure.com:operationsmanagement-OperationsManagement",8,14,16
"407","azure.com:policyinsights-policyEvents",4,4,14
"408","azure.com:policyinsights-policyStates",5,5,17
"409","azure.com:postgresql",14,22,9
"410","azure.com:powerbidedicated",8,11,2
"411","azure.com:powerbiembedded",9,12,2
"412","azure.com:provisioningservices-iotdps",13,17,16
"413","azure.com:recoveryservices-backup",2,4,14
"414","azure.com:recoveryservices-registeredidentities",2,2,1
"415","azure.com:recoveryservices-replicationusages",1,1,8
"416","azure.com:recoveryservices-vaults",5,10,13
"417","azure.com:recoveryservices-vaultusages",1,1,8
